Iteraciones,Energia_liberada,Energia_total
76700,0.000000,0.259305
76800,0.000000,0.246582
76900,0.000000,0.233162
77000,0.000000,0.241742
77100,0.000000,0.244868
77200,0.000000,0.251505
77300,0.000000,0.247355
77400,0.000000,0.252345
77500,0.000000,0.248721
77600,0.000000,0.253499
77700,0.000000,0.264405
77800,0.000000,0.240176
77900,0.000000,0.239471
78000,0.000000,0.266236
78100,0.000000,0.254076
78200,0.000000,0.269014
78300,0.000000,0.246003
78400,0.000000,0.233342
78500,0.000000,0.262942
78600,0.000000,0.252400
78700,0.000000,0.285276
78800,0.000000,0.273067
78900,0.000000,0.283201
79000,0.000000,0.300004
79100,0.000000,0.275474
79200,0.000000,0.294344
79300,0.000000,0.285172
79400,0.000000,0.259338
79500,0.000000,0.229306
79600,0.000000,0.236060
79700,0.000000,0.248786
79800,0.000000,0.245907
79900,0.000000,0.258853
80000,0.000000,0.261979
80100,0.000000,0.247753
80200,0.000000,0.274462
80300,0.000000,0.288907
80400,0.000000,0.277822
80500,0.000000,0.245705
80600,0.000000,0.270796
80700,0.000000,0.284572
80800,0.000000,0.284209
80900,0.000000,0.265461
81000,0.000000,0.247746
81100,0.000000,0.250864
81200,0.000000,0.264441
81300,0.000000,0.265549
81400,0.000000,0.277094
81500,0.000000,0.268509
81600,0.000000,0.241681
81700,0.000000,0.233021
81800,0.000000,0.227618
81900,0.000000,0.241227
82000,0.000000,0.234071
82100,0.000000,0.253108
82200,0.000000,0.245037
82300,0.000000,0.245122
82400,0.000000,0.234802
82500,0.000000,0.271906
82600,0.000000,0.264478
82700,0.000000,0.234640
82800,0.000000,0.251919
82900,0.000000,0.255583
83000,0.000000,0.260123
83100,0.000000,0.239504
83200,0.000000,0.257614
83300,0.000000,0.251365
83400,0.000000,0.271378
83500,0.000000,0.268747
83600,0.000000,0.273037
83700,0.000000,0.283650
83800,0.000000,0.291978
83900,0.000000,0.282691
84000,0.000000,0.280420
84100,0.000000,0.275468
84200,0.000000,0.274170
84300,0.000000,0.262764
84400,0.000000,0.294637
84500,0.000000,0.288716
84600,0.000000,0.272796
84700,0.000000,0.258270
84800,0.000000,0.259177
84900,0.000000,0.266760
85000,0.000000,0.250347
85100,0.000000,0.251478
85200,0.000000,0.282563
85300,0.000000,0.293481
85400,0.000000,0.302669
85500,0.000000,0.262776
85600,0.000000,0.260810
85700,0.000000,0.232506
85800,0.000000,0.237228
85900,0.000000,0.250690
86000,0.000000,0.281112
86100,0.000000,0.274214
86200,0.000000,0.270336
86300,0.000000,0.250137
86400,0.000000,0.247389
86500,0.000000,0.253856
86600,0.000000,0.233487
86700,0.000000,0.220939
86800,0.000000,0.247308
86900,0.000000,0.248159
87000,0.000000,0.285434
87100,0.000000,0.269690
87200,0.000000,0.286275
87300,0.000000,0.271082
87400,0.000000,0.282374
87500,0.000000,0.260412
87600,0.000000,0.244553
87700,0.000000,0.285447
87800,0.000000,0.268357
87900,0.000000,0.275314
88000,0.000000,0.281439
88100,0.000000,0.259149
88200,0.000000,0.244784
88300,0.000000,0.252875
88400,0.000000,0.254064
88500,0.000000,0.259822
88600,0.000000,0.265466
88700,0.000000,0.240203
88800,0.000000,0.210770
88900,0.000000,0.239097
89000,0.000000,0.253891
89100,0.000000,0.255956
89200,0.000000,0.245980
89300,0.000000,0.235126
89400,0.000000,0.213612
89500,0.000000,0.218286
89600,0.000000,0.255381
89700,0.000000,0.272459
89800,0.000000,0.269092
89900,0.000000,0.273419
90000,0.000000,0.260146
90100,0.000000,0.265031
90200,0.000000,0.268174
90300,0.000000,0.288693
90400,0.000000,0.284384
90500,0.000000,0.305718
90600,0.000000,0.280168
90700,0.000000,0.272895
90800,0.000000,0.256196
90900,0.000000,0.233463
91000,0.000000,0.265322
91100,0.000000,0.275175
91200,0.000000,0.266743
91300,0.000000,0.253924
91400,0.000000,0.261445
91500,0.000000,0.266903
91600,0.000000,0.240164
91700,0.000000,0.237987
91800,0.000000,0.246750
91900,0.000000,0.234360
92000,0.000000,0.284257
92100,0.000000,0.240511
92200,0.000000,0.221287
92300,0.000000,0.246864
92400,0.000000,0.233075
92500,0.000000,0.249414
92600,0.000000,0.224867
92700,0.000000,0.249039
92800,0.000000,0.244731
92900,0.000000,0.240926
93000,0.000000,0.242322
93100,0.000000,0.252935
93200,0.000000,0.236712
93300,0.000000,0.249923
93400,0.000000,0.232006
93500,0.000000,0.227489
93600,0.000000,0.232823
93700,0.000000,0.241253
93800,0.000000,0.263979
93900,0.000000,0.265360
94000,0.000000,0.292347
94100,0.000000,0.264710
94200,0.000000,0.269052
94300,0.000000,0.253098
94400,0.000000,0.252457
94500,0.000000,0.242337
94600,0.000000,0.233094
94700,0.000000,0.241651
94800,0.000000,0.235231
94900,0.000000,0.262240
95000,0.000000,0.246690
95100,0.000000,0.253626
95200,0.000000,0.280557
95300,0.000000,0.262097
95400,0.000000,0.243818
95500,0.000000,0.275361
95600,0.000000,0.276033
95700,0.000000,0.232591
95800,0.000000,0.249453
95900,0.000000,0.260870
96000,0.000000,0.263449
96100,0.000000,0.252548
96200,0.000000,0.254980
96300,0.000000,0.236070
96400,0.000000,0.245398
96500,0.000000,0.256293
96600,0.000000,0.251089
96700,0.000000,0.245532
96800,0.000000,0.282592
96900,0.000000,0.266896
97000,0.000000,0.272645
97100,0.000000,0.260288
97200,0.000000,0.240021
97300,0.000000,0.234403
